id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
4PmnCafj5tsr7U5PWyxiHP,0.835,0.467,-14.643,0.0824,0.579,0.116,0.11,116.0,10
7IXBW91KExfQ9CK1dSCs6Z,0.69,0.809,-4.916,0.244,0.0,0.161,0.651,85.308,25
4siFdX3QLfjtzg1HHgCPW7,0.321,0.22,-12.608,0.0352,0.00398,0.0873,0.301,157.037,14
48UPSzbZjgc449aqz8bxox,0.592,0.767,-2.788,0.027,0.00165,0.127,0.328,96.483,13
64BbK9SFKH2jk86U3dGj2P,0.458,0.795,-3.265,0.0574,0.000202,0.0756,0.513,123.229,13
4jdGS7XeC8gKDOqsOULdEE,0.307,0.573,-4.531,0.0395,0.0,0.216,0.0684,131.074,24
7vnm7otjL8hlbmzADEURAP,0.672,0.808,-6.144,0.0652,0.0,0.242,0.716,156.061,3
5O0YNvTnttzWCwxoCoM1DZ,0.754,0.671,-8.662,0.147,8.68e-06,0.131,0.321,93.029,25
71gR0M399Zl2VGcxpm68dd,0.531,0.459,-8.328,0.0295,8.1e-05,0.0767,0.197,120.036,17
0nsncaknBg9eWke0e7FPZJ,0.911,0.406,-8.756,0.0963,0.903,0.0522,0.406,122.011,10
6frjeqCOrcb010qUtilQ0K,0.455,0.734,-4.911,0.07,0.00143,0.108,0.384,157.505,24
0FhEsw0tLzYcittOixmHPL,0.716,0.83,-4.67,0.222,1.69e-06,0.103,0.674,92.147,25
4mWEdGB86UwD3tjZ2jN9kr,0.638,0.421,-8.686,0.0333,0.138,0.16,0.0766,126.997,17
1eumDcFTsoLPEN31viUhkt,0.727,0.638,-4.534,0.04,0.000218,0.0647,0.113,124.02,17
3VPf6Rkp4h8wDrKX1QdWrP,0.692,0.703,-7.262,0.0405,0.0,0.978,0.836,119.982,16
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,-10.965,0.375,0.13,0.1,0.562,135.128,25
7FI9XqPwaSMlTIZsmLwnW3,0.533,0.58,-6.906,0.4,0.0,0.346,0.626,173.882,11
2LRbFU1RmOZvYvcVmxa9vC,0.795,0.883,-4.966,0.0687,6.35e-06,0.125,0.491,109.003,7
4dwBMdAkQkC2uAkV9d23c5,0.406,0.774,-4.431,0.0532,0.0,0.0948,0.921,73.356,0
4eT8TcG3KKlprFcYePA9gw,0.853,0.679,-4.029,0.113,0.0,0.175,0.388,102.604,25
7diaOVBn2tLEpiWZA8IRzL,0.849,0.83,-5.83,0.228,0.0,0.303,0.602,98.086,25
7MjZDnFfaiiNrhZEPioGtn,0.728,0.546,-12.055,0.032,0.821,0.0907,0.139,122.986,10
3UGnDnM18Tyd8ZHICBIlai,0.819,0.413,-11.1,0.0741,0.505,0.079,0.0384,120.024,10
5KMm0xpzwGkHQnTWSW8kPx,0.605,0.617,-10.542,0.0516,0.787,0.108,0.239,119.965,10
6mlJOsRR8OFNKTPVMd97uO,0.43,0.428,-10.948,0.0681,0.016,0.124,0.119,117.551,22
6b2EqQRpnOfYilaNXqb8SD,0.621,0.644,-5.845,0.0381,5.95e-06,0.0993,0.479,132.923,17
0xfUruKo8PubvGKs9hVN7b,0.709,0.72,-4.96,0.0333,6.97e-06,0.0647,0.757,131.007,7
1Hig7RNxPMrYZ9aN5lZtAd,0.689,0.773,-4.342,0.0418,0.0,0.114,0.473,127.03,17
2Nsz5vf1G6jxQs9JdKkTaT,0.751,0.67,-7.883,0.0633,0.0515,0.427,0.203,119.998,17
3WmMLDQJljhKRPO4p0ZYSr,0.641,0.24,-15.397,0.158,0.0012,0.111,0.178,92.423,18
3W2ZcrRsInZbjWylOi6KhZ,0.593,0.392,-6.872,0.0257,0.000114,0.131,0.25,75.065,22
4qX18Am6dJZg0ovgddL7w6,0.745,0.717,-6.101,0.0861,0.0,0.0916,0.334,97.014,17
07f2b3CTdgKKlhv0mqUksz,0.717,0.668,-5.003,0.0554,0.0,0.0673,0.464,89.045,7
6erIvryBSsAdebNU4a7Mrs,0.758,0.729,-7.371,0.0417,2.39e-06,0.0954,0.738,142.052,7
3VenRcw70iVqKDrHdGgVwt,0.598,0.478,-9.55,0.0381,0.0,0.767,0.574,76.507,19
7C3nZgrsTFm7tSozmjxP7c,0.68,0.533,-11.801,0.0322,0.504,0.121,0.0749,120.013,10
